ORDER,FAMILY,SCIENTIFIC NAME,COMMON NAME,FRENCH NAME,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,Cottus aleuticus,coastrange sculpin,chabot côtier,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,Cottus asper,prickly sculpin,chabot piquant,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,Cottus bairdi,mottled sculpin,chabot tacheté,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,Cottus confusus,shorthead sculpin,chabot à tête courte,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,Cottus ricei,spoonhead sculpin,chabot à tête plate,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,Myoxocephalus quadricornis,fourhorn sculpin,chaboisseau à quatre cornes,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,Cottus rhotheus,torrent sculpin,chabot de torrent,,,,,,,,,,,,,,,,,,,,,,
SILURIFORMES,ICTALURIDAE,Ameiurus melas,black bullhead,barbotte noire,,,,,,,,,,,,,,,,,,,,,,
SILURIFORMES,ICTALURIDAE,Ameiurus natalis,yellow bullhead,barbotte jaune,,,,,,,,,,,,,,,,,,,,,,
SILURIFORMES,ICTALURIDAE,Ameiurus nebulosus,brown bullhead,barbotte brune,,,,,,,,,,,,,,,,,,,,,,
SILURIFORMES,ICTALURIDAE,Ictalurus punctatus,channel catfish,barbue de rivière,,,,,,,,,,,,,,,,,,,,,,
SILURIFORMES,ICTALURIDAE,Noturus flavus,stonecat,chat-fou des rapides,,,,,,,,,,,,,,,,,,,,,,
